word,Harry Potter and the Sorcerers Stone,Sleeping Beauty,total
shaped,0,1,1
severus,0,1,1
seventh,0,1,1
serving,0,1,1
serious,0,1,1
separate,0,1,1
sentinel,0,1,1
select,0,1,1
seekers,0,1,1
second,0,1,1
season,0,1,1
seal,0,1,1
sea,0,1,1
screeching,0,1,1
scratches,0,1,1
scoops,0,1,1
scoffs,0,1,1
science,0,1,1
schedule,0,1,1
scars,0,1,1
scandal,0,1,1
saw,0,1,1
saunters,0,1,1
sat,0,1,1
sandwiches,0,1,1
sailing,0,1,1
safer,0,1,1
saaa,0,1,1
sa,0,1,1
rush,0,1,1
rumours,0,1,1
rumbling,0,1,1
rule,0,1,1
rudimentary,0,1,1
rubbish,0,1,1
rows,0,1,1
rough,0,1,1
rotten,0,1,1
root,0,1,1
ronald,0,1,1
rolls,0,1,1
robe,0,1,1
roar,0,1,1
reveals,0,1,1
return,0,1,1
restrains,0,1,1
resides,0,1,1
residents,0,1,1
require,0,1,1
request,0,1,1
reptile,0,1,1
reparo,0,1,1
repairing,0,1,1
remind,0,1,1
remembered,0,1,1
remaining,0,1,1
releases,0,1,1
released,0,1,1
relax,0,1,1
refuses,0,1,1
redhead,0,1,1
recovered,0,1,1
recognizing,0,1,1
reckon,0,1,1
receives,0,1,1
reattaches,0,1,1
rear,0,1,1
realize,0,1,1
ravenclaws,0,1,1
ravenclaw,0,1,1
rational,0,1,1
rams,0,1,1
railings,0,1,1
ragged,0,1,1
rafters,0,1,1
racing,0,1,1
race,0,1,1
quills,0,1,1
quill,0,1,1
questionably,0,1,1
question,0,1,1
pushed,0,1,1
punctuating,0,1,1
pumpkin,0,1,1
pub,0,1,1
prune,0,1,1
proven,0,1,1
proudly,0,1,1
proudest,0,1,1
properly,0,1,1
promises,0,1,1
progressing,0,1,1
professors,0,1,1
proceeding,0,1,1
problems,0,1,1
problem,0,1,1
priorities,0,1,1
presume,0,1,1
pressure,0,1,1
presses,0,1,1
press,0,1,1
preoccupied,0,1,1
prefer,0,1,1
prefects,0,1,1
predisposition,0,1,1
practicing,0,1,1
powerful,0,1,1
powdered,0,1,1
pounds,0,1,1
postcard,0,1,1
possess,0,1,1
posing,0,1,1
portraits,0,1,1
pool,0,1,1
poisons,0,1,1
pocketwatch,0,1,1
pocket,0,1,1
plummets,0,1,1
plugging,0,1,1
plenty,0,1,1
pleasure,0,1,1
playing,0,1,1
player,0,1,1
played,0,1,1
platforms,0,1,1
plates,0,1,1
plant,0,1,1
plank,0,1,1
placing,0,1,1
pjs,0,1,1
pitiful,0,1,1
pictures,0,1,1
photograph,0,1,1
phoenix,0,1,1
pewter,0,1,1
petunias,0,1,1
person,0,1,1
peppermint,0,1,1
penguin,0,1,1
peer,0,1,1
pea,0,1,1
paying,0,1,1
pats,0,1,1
patrons,0,1,1
patil,0,1,1
path,0,1,1
password,0,1,1
passing,0,1,1
parvati,0,1,1
partly,0,1,1
particularly,0,1,1
parcel,0,1,1
paperwork,0,1,1
pan,0,1,1
pale,0,1,1
painful,0,1,1
packs,0,1,1
packed,0,1,1
owowowow,0,1,1
owned,0,1,1
outrage,0,1,1
outgrown,0,1,1
ordinary,0,1,1
opening,0,1,1
olanterns,0,1,1
official,0,1,1
office,0,1,1
offering,0,1,1
odd,0,1,1
oculus,0,1,1
occurs,0,1,1
occasionally,0,1,1
objects,0,1,1
obey,0,1,1
nudges,0,1,1
notice,0,1,1
nope,0,1,1
non,0,1,1
nightmare,0,1,1
nicolas,0,1,1
newspaper,0,1,1
newcomers,0,1,1
nervously,0,1,1
nervous,0,1,1
needs,0,1,1
narrates,0,1,1
names,0,1,1
nailed,0,1,1
muttering,0,1,1
music,0,1,1
mushed,0,1,1
munching,0,1,1
mucus,0,1,1
moving,0,1,1
movements,0,1,1
movement,0,1,1
moved,0,1,1
mounts,0,1,1
motorcycle,0,1,1
motor,0,1,1
month,0,1,1
momentarily,0,1,1
moans,0,1,1
misses,0,1,1
miserable,0,1,1
minerva,0,1,1
mine,0,1,1
mimicking,0,1,1
midnight,0,1,1
midday,0,1,1
metallic,0,1,1
messy,0,1,1
meself,0,1,1
mention,0,1,1
mental,0,1,1
members,0,1,1
mellow,0,1,1
meets,0,1,1
meeting,0,1,1
meals,0,1,1
mcgongall,0,1,1
mcgonagalls,0,1,1
mate,0,1,1
massively,0,1,1
marge,0,1,1
marcus,0,1,1
marching,0,1,1
marble,0,1,1
map,0,1,1
managed,0,1,1
mams,0,1,1
main,0,1,1
mails,0,1,1
magnificent,0,1,1
mad,0,1,1
maam,0,1,1
ma,0,1,1
lying,0,1,1
lump,0,1,1
loudly,0,1,1
losing,0,1,1
liver,0,1,1
lit,0,1,1
lists,0,1,1
lined,0,1,1
lights,0,1,1
levosa,0,1,1
levitation,0,1,1
leviosaaaar,0,1,1
levioooosa,0,1,1
levio,0,1,1
levi,0,1,1
level,0,1,1
lesson,0,1,1
length,0,1,1
ledge,0,1,1
lecture,0,1,1
leaving,0,1,1
learnt,0,1,1
learned,0,1,1
lean,0,1,1
lap,0,1,1
lantern,0,1,1
lane,0,1,1
landed,0,1,1
lampposts,0,1,1
ladder,0,1,1
lack,0,1,1
lacarnum,0,1,1
kings,0,1,1
kinds,0,1,1
kicks,0,1,1
keeping,0,1,1
katie,0,1,1
jumping,0,1,1
judgment,0,1,1
journey,0,1,1
jordan,0,1,1
jokes,0,1,1
james,0,1,1
jacket,0,1,1
jack,0,1,1
island,0,1,1
intruders,0,1,1
insult,0,1,1
instant,0,1,1
insist,0,1,1
infusion,0,1,1
information,0,1,1
inform,0,1,1
inflamarae,0,1,1
indicating,0,1,1
incredulous,0,1,1
incantations,0,1,1
immense,0,1,1
imaginable,0,1,1
image,0,1,1
ignoring,0,1,1
ignites,0,1,1
idiot,0,1,1
identical,0,1,1
idea,0,1,1
hurts,0,1,1
hurt,0,1,1
hurrying,0,1,1
hurls,0,1,1
hurled,0,1,1
hunt,0,1,1
hungry,0,1,1
hugging,0,1,1
hows,0,1,1
hover,0,1,1
horrified,0,1,1
hops,0,1,1
hoots,0,1,1
homework,0,1,1
holy,0,1,1
hollow,0,1,1
hogsmeade,0,1,1
history,0,1,1
highest,0,1,1
higher,0,1,1
hides,0,1,1
hesitatingly,0,1,1
hesitant,0,1,1
heheh,0,1,1
hehe,0,1,1
hearing,0,1,1
headmaster,0,1,1
heading,0,1,1
hawk,0,1,1
harder,0,1,1
happen,0,1,1
happee,0,1,1
hangs,0,1,1
hang,0,1,1
handshake,0,1,1
handful,0,1,1
halts,0,1,1
halls,0,1,1
halloween,0,1,1
guessing,0,1,1
grunting,0,1,1
growl,0,1,1
growing,0,1,1
grip,0,1,1
greeting,0,1,1
greet,0,1,1
gredient,0,1,1
greatness,0,1,1
greatest,0,1,1
greasy,0,1,1
grangers,0,1,1
grandly,0,1,1
grand,0,1,1
grabbing,0,1,1
goyle,0,1,1
goodness,0,1,1
goggles,0,1,1
godrics,0,1,1
goblet,0,1,1
goat,0,1,1
goal,0,1,1
glow,0,1,1
gloves,0,1,1
glory,0,1,1
glaring,0,1,1
glare,0,1,1
glances,0,1,1
giving,0,1,1
given,0,1,1
ginny,0,1,1
giggles,0,1,1
giggle,0,1,1
giant,0,1,1
ghosts,0,1,1
gentlemen,0,1,1
gears,0,1,1
gathers,0,1,1
gasp,0,1,1
garden,0,1,1
gape,0,1,1
gang,0,1,1
frosting,0,1,1
frogs,0,1,1
fro,0,1,1
frightened,0,1,1
fright,0,1,1
friendly,0,1,1
freedom,0,1,1
freak,0,1,1
fraid,0,1,1
fought,0,1,1
fortunate,0,1,1
formidable,0,1,1
fork,0,1,1
footsteps,0,1,1
foot,0,1,1
followers,0,1,1
folk,0,1,1
folded,0,1,1
flutters,0,1,1
flock,0,1,1
float,0,1,1
flitwicks,0,1,1
flipped,0,1,1
flavoured,0,1,1
flashing,0,1,1
flashback,0,1,1
flames,0,1,1
flame,0,1,1
fixing,0,1,1
five,0,1,1
fishes,0,1,1
firmly,0,1,1
fingers,0,1,1
finest,0,1,1
filtwick,0,1,1
films,0,1,1
field,0,1,1
feeling,0,1,1
fearfully,0,1,1
fault,0,1,1
fastest,0,1,1
fascinating,0,1,1
families,0,1,1
facts,0,1,1
fact,0,1,1
faces,0,1,1
extremely,0,1,1
extends,0,1,1
expression,0,1,1
exploded,0,1,1
explains,0,1,1
expelled,0,1,1
exits,0,1,1
excess,0,1,1
example,0,1,1
examining,0,1,1
evilly,0,1,1
everyones,0,1,1
escapes,0,1,1
err,0,1,1
er,0,1,1
equipped,0,1,1
entering,0,1,1
ensnare,0,1,1
enormous,0,1,1
engulf,0,1,1
ends,0,1,1
ended,0,1,1
eleven,0,1,1
elephant,0,1,1
elderly,0,1,1
egg,0,1,1
ease,0,1,1
earn,0,1,1
early,0,1,1
earlier,0,1,1
dyeing,0,1,1
dusts,0,1,1
dungeons,0,1,1
dumbledorell,0,1,1
dumb,0,1,1
dry,0,1,1
dropping,0,1,1
drilling,0,1,1
draw,0,1,1
draught,0,1,1
draconis,0,1,1
doubt,0,1,1
dorms,0,1,1
dormitory,0,1,1
doris,0,1,1
doorstep,0,1,1
dogs,0,1,1
dodges,0,1,1
dodge,0,1,1
diversion,0,1,1
distance,0,1,1
dismayed,0,1,1
dismal,0,1,1
dislike,0,1,1
disgust,0,1,1
disbelief,0,1,1
disapproving,0,1,1
disappear,0,1,1
directly,0,1,1
direct,0,1,1
dips,0,1,1
dings,0,1,1
digs,0,1,1
difference,0,1,1
dies,0,1,1
didja,0,1,1
devil,0,1,1
device,0,1,1
desks,0,1,1
desire,0,1,1
deserted,0,1,1
depth,0,1,1
denied,0,1,1
demand,0,1,1
delivery,0,1,1
deliminator,0,1,1
delight,0,1,1
delicate,0,1,1
dejectedly,0,1,1
definitely,0,1,1
defense,0,1,1
defends,0,1,1
deeply,0,1,1
dash,0,1,1
dangling,0,1,1
damn,0,1,1
damaging,0,1,1
damaged,0,1,1
daises,0,1,1
dads,0,1,1
daddys,0,1,1
crossing,0,1,1
cross,0,1,1
crockford,0,1,1
cringes,0,1,1
crimson,0,1,1
crikey,0,1,1
cricket,0,1,1
creatures,0,1,1
crawls,0,1,1
crackpot,0,1,1
crabbe,0,1,1
cowers,0,1,1
covers,0,1,1
covering,0,1,1
covered,0,1,1
cousin,0,1,1
courage,0,1,1
countryside,0,1,1
counted,0,1,1
coughs,0,1,1
correctly,0,1,1
cool,0,1,1
cooking,0,1,1
cookies,0,1,1
cookie,0,1,1
content,0,1,1
constructor,0,1,1
consisting,0,1,1
conking,0,1,1
congratulations,0,1,1
confirmation,0,1,1
confidant,0,1,1
concern,0,1,1
commentator,0,1,1
comin,0,1,1
cold,0,1,1
codswallop,0,1,1
closer,0,1,1
clockwise,0,1,1
cloaked,0,1,1
climb,0,1,1
clambers,0,1,1
chooses,0,1,1
chicken,0,1,1
chewing,0,1,1
chattering,0,1,1
chatter,0,1,1
chases,0,1,1
chaser,0,1,1
chapter,0,1,1
chaos,0,1,1
chairs,0,1,1
certain,0,1,1
ceremony,0,1,1
cept,0,1,1
celebrity,0,1,1
caverns,0,1,1
cavern,0,1,1
caveat,0,1,1
cause,0,1,1
cauldrons,0,1,1
cats,0,1,1
catching,0,1,1
case,0,1,1
carts,0,1,1
cartlike,0,1,1
carry,0,1,1
caretaker,0,1,1
cards,0,1,1
caput,0,1,1
captivity,0,1,1
captain,0,1,1
capes,0,1,1
came,0,1,1
calms,0,1,1
calmly,0,1,1
calming,0,1,1
buying,0,1,1
button,0,1,1
butter,0,1,1
butted,0,1,1
bustle,0,1,1
bushy,0,1,1
bursting,0,1,1
burn,0,1,1
burma,0,1,1
bundled,0,1,1
bundle,0,1,1
buggers,0,1,1
brutal,0,1,1
broomsticks,0,1,1
broadly,0,1,1
bristol,0,1,1
brilliant,0,1,1
brightly,0,1,1
brighten,0,1,1
bricked,0,1,1
brew,0,1,1
bred,0,1,1
breathless,0,1,1
breach,0,1,1
brain,0,1,1
bounds,0,1,1
bought,0,1,1
botts,0,1,1
boring,0,1,1
boos,0,1,1
boo,0,1,1
bones,0,1,1
boiler,0,1,1
bogies,0,1,1
bogey,0,1,1
bobs,0,1,1
boa,0,1,1
blowing,0,1,1
bloodied,0,1,1
blonde,0,1,1
blinks,0,1,1
bletchley,0,1,1
blasting,0,1,1
blackens,0,1,1
bitten,0,1,1
birdae,0,1,1
bigger,0,1,1
big,0,1,1
bewitched,0,1,1
bewitch,0,1,1
bertie,0,1,1
bench,0,1,1
belongings,0,1,1
belong,0,1,1
bell,0,1,1
believed,0,1,1
behavior,0,1,1
beeps,0,1,1
beater,0,1,1
beans,0,1,1
bean,0,1,1
battle,0,1,1
baseball,0,1,1
barrel,0,1,1
barely,0,1,1
banner,0,1,1
band,0,1,1
balance,0,1,1
baggage,0,1,1
awww,0,1,1
awake,0,1,1
audience,0,1,1
attracted,0,1,1
ate,0,1,1
assuring,0,1,1
assessment,0,1,1
aside,0,1,1
ashes,0,1,1
article,0,1,1
art,0,1,1
arse,0,1,1
arrogance,0,1,1
arriving,0,1,1
argus,0,1,1
argue,0,1,1
area,0,1,1
appreciate,0,1,1
appearing,0,1,1
apparently,0,1,1
anytime,0,1,1
annoyance,0,1,1
announcing,0,1,1
angelina,0,1,1
angelia,0,1,1
amusement,0,1,1
amounts,0,1,1
amazingly,0,1,1
amazing,0,1,1
amanda,0,1,1
alright,0,1,1
almighty,0,1,1
allowing,0,1,1
allowed,0,1,1
alert,0,1,1
aint,0,1,1
aims,0,1,1
ahhhhhhh,0,1,1
ahem,0,1,1
aghhhemm,0,1,1
aghast,0,1,1
aggreement,0,1,1
agape,0,1,1
afraid,0,1,1
addressed,0,1,1
actually,0,1,1
acts,0,1,1
activates,0,1,1
aconite,0,1,1
acknowledging,0,1,1
according,0,1,1
accident,0,1,1
accepted,0,1,1
abnormal,0,1,1
ability,0,1,1
abilities,0,1,1
